Artistas,Composición,Género,Nacionalidad,Género musical,Debut
Kya,Solista,F,Chile,Pop,2019
Lana del Rey,Solista,F,Estados Unidos,Pop,2010
Liz Santibáñez,Solista,F,Chile,Pop,2020
Lorde,Solista,F,Nueva Zelanda,Pop,2008
Lua Lacruz,Solista,F,Chile,Pop,2022
Madds,Solista,F,Estados Unidos,Pop,2017
Mariel Mariel,Solista,F,Chile,Pop,2007
Marina and the diamonds,Solista,F,Inglaterra,Pop,2005
Marina Reche,Solista,F,España,Pop,2023
Marineros,Banda,F,Chile,Pop,2011
Melanie Martinez,Solista,F,Estados Unidos,Pop,2014
Miley Cyrus,Solista,F,Estados Unidos,Pop,2006
MØ,Solista,F,Dinamarca,Pop,2013
Mon Laferte,Solista,F,Chile,Pop,2003
Natalia Lafourcade,Solista,F,España,Pop,2002
Olivia Rodrigo,Solista,F,Estados Unidos,Pop,2019
Paula Cendejas,Solista,F,España,Pop,2019
Princesa Alba,Solista,F,Chile,Pop,2017
Russian red,Solista,F,España,Pop,2008
Suki Watherhouse,Solista,F,Reino Unido,Pop,2022
Tate McRae,Solista,F,Canadá,Pop,2020
Tegan and Sara ,Banda,F,Canadá,Pop,1995
Ximena Sariñana,Solista,F,México,Pop,2008
Yael Meyer,Solista,F,Chile,Pop,2004
Yami Safdie,Solista,F,Argentina,Pop,2023
Zara Larsson,Solista,F,Suecia,Pop,2013
Adrianigual,Banda,M,Chile,Pop,2004
Alex Anwandter,Solista,M,Chile,Pop,2010
Amarga Marga,Banda,M,Chile,Pop,2015
Artemas,Solista,M,Reino Unido,Pop,2020
Benson Boone,Solista,M,Estados Unidos,Pop,2021
Capital Cities,Banda,M,Estados Unidos,Pop,2010
Chinoy,Solista,M,Chile,Pop,2009
Clemente,Solista,M,Chile,Pop,2022
Conan Gray,Solista,M,Estados Unidos,Pop,2020
Danny Ocean,Solista,M,Venezuela,Pop,2009
Dayglow,Solista,M,Estados Unidos,Pop,2017
Esteman,Solista,M,Colombia,Pop,2009
Florian,Solista,M,Argentina,Pop,2019
Francisco Victoria,Solista,M,Chile,Pop,2018
Gepe,Solista,M,Chile,Pop,2004
Glass Animals,Banda,M,Reino Unido,Pop,2010
Justin Timberlake,Solista,M,Estados Unidos,Pop,1998
Kapitol,Banda,M,Chile,Pop,2011
Lany,Banda,M,Estados Unidos,Pop,2014
Lara Project,Banda,M,Venezuela,Pop,2017
Lasso,Solista,M,Venezuela,Pop,2011
Louta,Solista,M,Argentina,Pop,2016
LSV,Solista,M,Chile,Pop,2022
Marc Seguí,Solista,M,España,Pop,2019
Matthew Koma,Solista,M,Estados Unidos,Pop,2007
Me llamo Sebastián,Solista,M,Chile,Pop,2010
Mecánico,Banda,M,Chile,Pop,2010
MGMT,Banda,M,Estados Unidos,Pop,2002
Mike Tompkins,Solista,M,Canadá,Pop,2009
Nicole,Solista,M,Chile,Pop,1989
Niño Cohete,Banda,M,Chile,Pop,2010
Oh Margot!,Banda,M,Chile,Pop,2009
Pabllo Vittar,Solista,M,Brasil,Pop,2017
Pablopablo,Solista,M,España,Pop,2022
Parcels,Banda,M,Australia,Pop,2014
