Artistas,Composición,Género,Nacionalidad,Género musical,Debut
"Francisco, el Hombre",Banda,Mixto,México,Rock,2013
Frank´s white canvas,Banda,F,Chile,Rock ,2015
Franz Ferdinand,Banda,M,Reino Unido,Rock,2001
Fred Again.,Solista,M,Reino Unido,Electrónica,2010
Friendly Fires,Banda,M,Reino Unido,Rock,2006
FrioLento,Banda,M,Chile,Punk,2018
Fundación Orquesta Juveniles e Infantiles,Banda,Mixto,Chile,Música clásica,1991
G-Eazy,Solista,M,Estados Unidos,Hip-hop/rap,2014
Galantis,Banda,M,Suecia,Electrónica,2012
Gale,Solista,F,Puerto Rico,Pop,2016
Galee Galee,Solista,M,Chile,Trap,2018
Gary Clark Jr.,Solista,M,Estados Unidos,Blues,2010
Gentleman,Solista,M,Alemania,Reggae,1998
Gepe,Solista,M,Chile,Pop,2004
Ghetto Kids,Banda,M,Uganda,Afrobeat,2014
Ghost,Banda,M,Suecia,Rock,2006
Ghostland Observatory,Banda,M,Estados Unidos,Rock,2004
GianLuca,Solista,M,Chile,Trap,2017
Girl Ultra,Solista,F,México,R&B,2016
Glass Animals,Banda,M,Reino Unido,Pop,2010
Glup!,Banda,M,Chile,Rock,1998
Gogol Bordello,Banda,Mixto,Estados Unidos,Punk,1999
Golden Dawn Arkestra,Banda,Mixto,Estados Unidos,Afrobeat,2013
Goldenrat,Banda,M,Chile,Rock,2015
Goldfish,Banda,M,Sudáfrica,Electrónica,2006
Gondwana,Banda,M,Chile,Reggae,1987
Gordon City,Banda,M,Inglaterra,Electrónica,2012
Gramatik,Solista,M,Eslovenia,Electrónica,2008
Green Valey,Banda,M,España,Reggae,2004
Greta Van Fleet,Banda,M,Estados Unidos,Rock,2012
Griz,Solista,M,Estados Unidos,Electrónica,2011
Grupo Frontera,Banda,M,México,Regional Méxicano,2022
Gryffin,Solista,M,Estados Unidos,Electrónica,2014
GTA,Banda,M,Estados Unidos,Electrónica,2010
Gufi,Banda,M,Chile,Punk,2002
Gush,Banda,Mixto,Francia,Rock,2004
Gustavo Cordera,Solista,M,Argentina,Rock,2009
Halsey,Solista,F,Estados Unidos,Pop,2014
Hardwell,Solista,M,Países Bajos,Electrónica,2009
Harry Nach,Solista,M,Chile,Trap,2018
Haumoana,Solista,M,Chile,Folk,2016
Hausi Kuta,Banda,M,Chile,Rock,2016
Heavysaurios,Banda,M,Argentina,Infantil,2012
Hedo,Solista,M,Chile,Electrónica,2015
Hielo Negro,Banda,M,Chile,Rock,1997
Hippie Sabotage,Banda,M,Estados Unidos,Electrónica,2013
Hola Flinko,Banda,Mixto,Chile,Infantil,2017
Homboldt,Banda,M,Chile,Indie rock,2015
HopPo!,Banda,M,Chile,Folk,2010
Hordatoj,Solista,M,Chile,Hip-hop/rap,2009
Hot chip,Banda,M,Reino Unido,Electrónica,2000
Hot Milk,Banda,Mixto,Reino Unido,Rock,2018
Hozier,Solista,M,Irlanda,Folk,2013
Idles,Banda,M,Reino Unido,Punk,2009
