Artistas,Composición,Género,Nacionalidad,Género musical,Debut
Parcels,Banda,M,Australia,Pop,2014
Pascuala Ilabaca y Fauna,Solista,Mixto,Chile,Tropical,2008
Passion Pit,Banda,M,Estados Unidos,Pop,2007
Paz Court ,Solista,F,Chile,Jazz,2014
Peaches,Solista,F,Canadá,Electrónica,2000
Pearl Jam,Banda,M,Estados Unidos,Rock,1990
Pedropiedra,Solista,M,Chile,Rock,2009
Perrosky,Banda,M,Chile,Folk,2001
PerryEtty vs Chris Cox,Banda,Mixto,Estados Unidos,Electrónica,2010
Phoenix,Banda,M,Francia,Rock,1999
Pillanes,Banda,M,Chile,Rock,2018
Pixies,Banda,M,Estados Unidos,Rock,1986
Planeta No,Banda,M,Chile,Pop,2011
Playa Gótica,Banda,Mixto,Chile,Pop,2014
Pol del sur,Solista,M,Chile,Folk,2010
Polimá Westcoast,Solista,M,Chile,Trap,2015
Poncho,Banda,M,Argentina,Electrónica,2009
Portavoz,Solista,M,Chile,Hip-hop/rap,2005
Porter Robinson,Solista,M,Estados Unidos,Electrónica,2010
Portugal. The Man,Banda,M,Estados Unidos,Rock,2013
Post Malone,Solista,M,Estados Unidos,Hip hop,2015
Power Peralta Dance Studio,Banda,M,Chile,Show de Baile,2003
Prefiero Fernández,Banda,M,Chile,Rock,2013
Prehistöricos,Banda,Mixto,Chile,Folk,2010
Pretty Lights,Solista,M,Estados Unidos,Electrónica,2006
Protistas,Banda,M,Chile,Pop,2008
Protoje & The indiggnation,Banda,M,Jamaica,Reggae,2010
Pulenta,Banda,Mixto,Chile,Dembow,
Puscifer,Banda,M,Estados Unidos,Rock,2003
Queens of the Stone age,Banda,M,Estados Unidos,Rock,1996
Quique Neira,Solista,M,Chile,Reggae,1991
Rama,Banda,M,Chile,Rock,1997
Rancid,Banda,M,Estados Unidos,Rock,1991
Red Hot Chili Peppers,Banda,M,Estados Unidos,Rock,1983
Red oblivion,Banda,Mixto,Estados Unidos,Punk,2012
Resina Lala,Banda,Mixto,Colombia,Punk,2012
Rey Puesto,Banda,M,Chile,Rock,2013
Ribo,Banda,M,Chile,Rock ,
Ritmo Machine,Banda,M,Estados Unidos,Electrónica,2011
RL Grime,Solista,M,Estados Unidos,Electrónica,2012
Robert Plant,Solista,M,Reino Unido,Rock,1966
Rod Valdes,Solista,M,Chile,Electrónica,2016
Roman & Casto,Banda,M,Chile,Electrónica,2012
Rootz HiFI,Banda,M,Chile,Reggae,2006
Rosalia,Solista,F,España,Flamenco,2017
Royal Blood,Banda,M,Reino Unido,Rock,2011
Rubio,Solista,F,Chile,Electrónica,2015
Rudimental,Banda,M,Reino Unido,Electrónica,2012
Rufus du sol,Banda,M,Australia,Electrónica,2010
Russian red,Solista,F,España,Pop,2008
RVSB,Banda,M,Chile,Hip-hop/rap,2013
Sam Smith,Solista,Mixto,Reino Unido,Pop,2012
Sanfuentes,Solista,M,Chile,Electrónica,2012
Santaferia,Banda,M,Chile,Cumbia ,2006
Santobando,Banda,M,Chile,Reggae,1994
Satori,Solista,M,Países Bajos,Electrónica,2012
Savages,Banda,F,Reino Unido,Rock,2008
SBTRKT,Solista,M,Reino Unido,Electrónica,2011
School of Rock,Banda,Mixto,Chile ,Infantil,2015
Seeed,Banda,M,Alemania,Reggae,1998
Seun Kuiti,Solista,M,Nigeria,Afrobeat,2008
Shiba San,Solista,M,Francia,Electrónica,2014
Shoot the radio,Banda,M,Argentina,Electrónica,2015
Sick Jacken & Sen Dog,Banda,M,Estados Unidos,Hip-hop/rap,1988
Silversun Pickups,Banda,M,Estados Unidos,Rock,2005
Silvestre,Banda,M,Chile,Cumbia,2004
Sinergia,Banda,M,Chile,Rock,2001
Sistek,Solista,M,Chile,Electrónica,2015
Sita Abellán,Solista,F,España,Electrónica,2015
Skrillex,Solista,M,Estados Unidos,Electrónica,2007
Snoop Dog,Solista,M,Estados Unidos,Hip/hop/rap,1992
Snow Patrol,Banda,M,Reino Unido,Rock ,1994
Somos Manhattan,Banda,M,Chile,Jazz,2013
Sophi Lira,Solista,F,Perú,Pop ,2015
Soul & Senses,Banda,M,Chile,Electrónica,2010
Soundgarden,Banda,M,Estados Unidos,Rock,1984
Spiral Vortex,Banda,M,Chile,Rock,
Spoon,Banda,M,Estados Unidos,Indie rock,1993
St. Vicent,Solista,F,Estados Unidos,Rock,2003
Steel Pulse,Banda,M,Reino Unido,Reggae,1975
Steve Aoki,Solista,M,Estados Unidos,Electrónica,2012
Stone Giant,Banda,M,Estados Unidos,Rock,2012
Subhira,Solista,M,Chile,Electrónica,1990
Sublime with Rome,Banda,M,Estados Unidos,Reggae,2011
Surtek Collective,Banda,M,Puerto Rico,Electrónica,2005
Systema Solar,Banda,Mixto,Colombia,Electrónica,2006
Tame Impala,Banda,M,Australia,Rock,2007
Tash Sultana,Solista,NB,Australia,Indie rock,2013
Tchami,Solista,M,Francia,Electrónica,2013
Tegan and Sara ,Banda,F,Canadá,Pop,1995
Telebit,Banda,M,Colombia,Rock,2011
Temple Agents,Banda,M,Chile,Rock,2009
Tentempies,Banda,M,Países Bajos,Rock,2007
The 1975,Banda,M,Reino Unido,Rock,2002
The alive,Banda,M,Estados Unidos,Rock,2018
The Black Keys,Banda,M,Estados Unidos,Rock,2001
The Bloody Beetroots,Solista,M,Italia,Electrónica,2006
The Chainsmokers,Banda,M,Estados Unidos,Electrónica,2012
The Crystal Method,Banda,M,Estados Unidos,Electrónica,1993
The Drums,Banda,M,Estados Unidos,Rock,2008
The fever 333,Banda,M,Estados Unidos,Punk,2017
The Flaming Lips,Banda,M,Estados Unidos,Rock,1984
The Ganjas,Banda,M,Chile,Rock,2000
The Helmets,Banda,M,Estados Unidos,Rock,2015
The hives,Banda,M,Suecia,Rock,1993
The inspector Cluzo,Banda,M,Francia,Rock,2008
The Joy Formidable,Banda,Mixto,Inglaterra,Rock,2007
The Killers,Banda,M,Estados Unidos,Rock,2001
The Kooks,Banda,M,Reino Unido,Rock,2004
The National,Banda,M,Estados Unidos,Rock,1999
The Neighbourdhood,Banda,M,Estados Unidos,Indie rock,2011
The Smashing Pumpkins,Banda,M,Estados Unidos,Rock,1988
The Specials,Banda,M,Reino Unido,Reggae,1977
The strokes,Banda,M,Estados Unidos,Rock,2001
The suicide Bitches,Banda,M,Chile,Rock,2006
