Año,Artista,Composición,Género,nacionalidad,escenario,tiempo / escenario,headliner,Dia 
2014,New Order,Banda,Mixto,Reino Unido,Playstation Stage,75 minutos,No,domingo
2014,Nicole,Solista,Femenino,chile,Paris Stage,60 minutos,No,domingo
2014,Nine Inch Nails,Banda,Masculino,Estados Unidos,Coca Cola Stage,90 minutos,Si,Sabado
2014,Niño Cohete,Banda,Masculino,chile,Paris Stage,45 minutos,No,domingo
2014,Onda Vaga,Banda,Masculino,Uruguay,Paris Stage,60 minutos,No,Sabado
2014,Orixango,Banda,Mixto,Chile,Kidzapalooza,45 minutos,No,Sabado
2014,Perretty,Solista,Masculino,Estados Unidos,LG G2 Stage,60 minutos,No,domingo
2014,Phoenix,Banda,Masculino,Francia,Claro Stage,75 minutos,No,Sabado
2014,Pixies,Banda,Mixto,Estados Unidos,Claro Stage,75 minutos,No,domingo
2014,Portugal The Man,Banda,Mixto,Estados Unidos,Claro Stage,60 minutos,No,domingo
2014,Power Peralta,Banda,Masculino,Chile,Kidzapalooza,45 minutos,No,domingo
2014,Prefiero Fernandez,Banda,Masculino,Chile,Paris Stage,45 minutos,No,Sabado
2014,Rama ,Banda,Masculino,chile,Paris Stage,45 minutos,No,domingo
2014,red hot chili peppers,Banda,Masculino,Estados Unidos,Claro Stage,105 minutos,Si,Sabado
2014,Red Obivlion,Banda,Mixto,Estados Unidos,Playstation Stage,45 minutos,No,domingo
2014,Sanfuentes,Solista,Masculino,chile,LG G2 Stage,60 minutos,No,domingo
2014,Santobando,Banda,Mixto,Chile,Playstation Stage,45 minutos,No,Sabado
2014,Savages,Banda,Femenino,Reino Unido,Playstation Stage,60 minutos,No,domingo
2014,Somos Manhattan,Banda,Mixto,chile,Paris Stage,45 minutos,No,domingo
2014,Soundgarden,Banda,Masculino,Estados Unidos,Claro Stage,120 minutos,Si,domingo
2014,The Bloody Beetroots,Solista,Masculino,Italia,LG G2 Stage,75 minutos,No,Sabado
2014,The Wailers,Banda,Mixto,Jamaica,Playstation Stage,75 minutos,No,Sabado
2014,Tikitiklip,Banda,Mixto,Chile,Kidzapalooza,45 minutos,No,domingo
2014,Upa!,Banda,Masculino,Chile,Paris Stage,45 minutos,No,Sabado
2014,Vampire Weekend,Banda,Masculino,chile,Coca Cola Stage,75 minutos,No,domingo
2014,We are The Grand,Banda,Masculino,chile,Coca Cola Stage,45 minutos,No,domingo
2014,Wolfgang Garnter,Solista,Masculino,Estados Unidos,LG G2 Stage,75 minutos,No,Sabado
